County,State,Total Population,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Other Asian not specified,Other Asian specified,Pakistani,Sri Lankan,Taiwanese,Thai,Vietnamese
Anchorage Municipality,Alaska,,,,,,,2657,17068,4003,,2437,5111,,,,,,,,,,,,
Anderson County,Kansas,,,,,,,,,,,,,,,,,,,,,,,,
Anderson County,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,
Anderson County,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,
Anderson County,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,
Anderson County,Texas,,,,,,,,,,,,,,,,,,,,,,,,
Andrew County,Missouri,,,,,,,,,,,,,,,,,,,,,,,,
Andrews County,Texas,,,,,,,,,,,,,,,,,,,,,,,,
Androscoggin County,Maine,,,,,,,,,,,,,,,,,,,,,,,,
Angelina County,Texas,,,,,,,,,,,,,,,,,,,,,,,,
Anne Arundel County,Maryland,,3757,,,,,4218,7193,,,,5007,,,,,,,,,,,,
Anoka County,Minnesota,,3280,,,,,1748,,4287,,,1829,,,,,,,,,,,,3035
Anson County,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,
Antelope County,Nebraska,,,,,,,,,,,,,,,,,,,,,,,,
Antrim County,Michigan,,,,,,,,,,,,,,,,,,,,,,,,
Apache County,Arizona,,,,,,,,,,,,,,,,,,,,,,,,
Appanoose County,Iowa,,,,,,,,,,,,,,,,,,,,,,,,
Appling County,Georgia,,,,,,,,,,,,,,,,,,,,,,,,
Appomattox County,Virginia,,,,,,,,,,,,,,,,,,,,,,,,
Aransas County,Texas,,,,,,,,,,,,,,,,,,,,,,,,
Arapahoe County,Colorado,,8452,,,,,6507,4323,,,3222,8336,,,,,,,,,,,,5384
Archer County,Texas,,,,,,,,,,,,,,,,,,,,,,,,
Archuleta County,Colorado,,,,,,,,,,,,,,,,,,,,,,,,
Arecibo Municipio,Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,
Arenac County,Michigan,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas County,Arkansas,,,,,,,,,,,,,,,,,,,,,,,,
Arlington County,Virginia,,5052,,,,,5961,3273,,,1682,2595,,,,,,,,,,,,2041
Armstrong County,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,
Armstrong County,Texas,,,,,,,,,,,,,,,,,,,,,,,,
Aroostook County,Maine,,,,,,,,,,,,,,,,,,,,,,,,
Arroyo Municipio,Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,
Arthur County,Nebraska,,,,,,,,,,,,,,,,,,,,,,,,
Ascension Parish,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,
Ashe County,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,
Ashland County,Ohio,,,,,,,,,,,,,,,,,,,,,,,,
Ashland County,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,
Ashley County,Arkansas,,,,,,,,,,,,,,,,,,,,,,,,
Ashtabula County,Ohio,,,,,,,,,,,,,,,,,,,,,,,,
Asotin County,Washington,,,,,,,,,,,,,,,,,,,,,,,,
Assumption Parish,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,
Atascosa County,Texas,,,,,,,,,,,,,,,,,,,,,,,,
Atchison County,Kansas,,,,,,,,,,,,,,,,,,,,,,,,
Atchison County,Missouri,,,,,,,,,,,,,,,,,,,,,,,,
Athens County,Ohio,,,,,,,,,,,,,,,,,,,,,,,,
Atkinson County,Georgia,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic County,New Jersey,,7150,2599,,,,4487,3571,,,,,,,,,,,,,,,,4167
Atoka County,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,
Attala County,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,
Audrain County,Missouri,,,,,,,,,,,,,,,,,,,,,,,,
Audubon County,Iowa,,,,,,,,,,,,,,,,,,,,,,,,
Auglaize County,Ohio,,,,,,,,,,,,,,,,,,,,,,,,
Augusta County,Virginia,,,,,,,,,,,,,,,,,,,,,,,,
Aurora County,South Dakota,,,,,,,,,,,,,,,,,,,,,,,,
Austin County,Texas,,,,,,,,,,,,,,,,,,,,,,,,
Autauga County,Alabama,,,,,,,,,,,,,,,,,,,,,,,,
Avery County,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,
Avoyelles Parish,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,
Baca County,Colorado,,,,,,,,,,,,,,,,,,,,,,,,
Bacon County,Georgia,,,,,,,,,,,,,,,,,,,,,,,,
Bailey County,Texas,,,,,,,,,,,,,,,,,,,,,,,,
Baker County,Florida,,,,,,,,,,,,,,,,,,,,,,,,
Baker County,Georgia,,,,,,,,,,,,,,,,,,,,,,,,
Baker County,Oregon,,,,,,,,,,,,,,,,,,,,,,,,
Baldwin County,Alabama,,,,,,,,,,,,,,,,,,,,,,,,
Baldwin County,Georgia,,,,,,,,,,,,,,,,,,,,,,,,
Ballard County,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,
Baltimore city,Maryland,,3656,,,,,4447,3141,,,,2926,,,,,,,,,,,,1366
Baltimore County,Maryland,,15142,,,,,9239,9772,,,1231,5861,,,,,,,,4771,,,,2498
Bamberg County,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,
Bandera County,Texas,,,,,,,,,,,,,,,,,,,,,,,,
Banks County,Georgia,,,,,,,,,,,,,,,,,,,,,,,,
Banner County,Nebraska,,,,,,,,,,,,,,,,,,,,,,,,
Bannock County,Idaho,,,,,,,,,,,,,,,,,,,,,,,,
Baraga County,Michigan,,,,,,,,,,,,,,,,,,,,,,,,
Barber County,Kansas,,,,,,,,,,,,,,,,,,,,,,,,
Barbour County,Alabama,,,,,,,,,,,,,,,,,,,,,,,,
Barbour County,West Virginia,,,,,,,,,,,,,,,,,,,,,,,,
Barceloneta Municipio,Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,
Barnes County,North Dakota,,,,,,,,,,,,,,,,,,,,,,,,
Barnstable County,Massachusetts,,,,,,,1170,,,,,,,,,,,,,,,,,
Barnwell County,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,
Barranquitas Municipio,Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,
Barren County,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,
Barron County,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,
Barrow County,Georgia,,,,,,,,,1723,,,,,,,,,,,,,,,
Barry County,Michigan,,,,,,,,,,,,,,,,,,,,,,,,
Barry County,Missouri,,,,,,,,,,,,,,,,,,,,,,,,
Bartholomew County,Indiana,,2983,,,,,,,,,,,,,,,,,,,,,,
Barton County,Kansas,,,,,,,,,,,,,,,,,,,,,,,,
Barton County,Missouri,,,,,,,,,,,,,,,,,,,,,,,,
Bartow County,Georgia,,,,,,,,,,,,,,,,,,,,,,,,
Bastrop County,Texas,,,,,,,,,,,,,,,,,,,,,,,,
Bates County,Missouri,,,,,,,,,,,,,,,,,,,,,,,,
Bath County,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,
Bath County,Virginia,,,,,,,,,,,,,,,,,,,,,,,,
Baxter County,Arkansas,,,,,,,,,,,,,,,,,,,,,,,,
Bay County,Florida,,,,,,,,,,,,,,,,,,,,,,,,
Bay County,Michigan,,,,,,,,,,,,,,,,,,,,,,,,
Bayamón Municipio,Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,
Bayfield County,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,
Baylor County,Texas,,,,,,,,,,,,,,,,,,,,,,,,
Beadle County,South Dakota,,,,,1520,,,,,,,,,,,,,,,,,,,
Bear Lake County,Idaho,,,,,,,,,,,,,,,,,,,,,,,,
Beaufort County,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,
Beaufort County,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,
Beauregard Parish,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,
Beaver County,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,
Beaver County,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,
Beaver County,Utah,,,,,,,,,,,,,,,,,,,,,,,,
Beaverhead County,Montana,,,,,,,,,,,,,,,,,,,,,,,,
Becker County,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,
Beckham County,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,
Bedford County,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,
Bedford County,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,
Bedford County,Virginia,,,,,,,,,,,,,,,,,,,,,,,,
Bee County,Texas,,,,,,,,,,,,,,,,,,,,,,,,
Belknap County,New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,
Bell County,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,
Bell County,Texas,,,,,,,,4217,,,,4672,,,,,,,,,,,,
Belmont County,Ohio,,,,,,,,,,,,,,,,,,,,,,,,
Beltrami County,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,
Ben Hill County,Georgia,,,,,,,,,,,,,,,,,,,,,,,,
Benewah County,Idaho,,,,,,,,,,,,,,,,,,,,,,,,
Bennett County,South Dakota,,,,,,,,,,,,,,,,,,,,,,,,
Bennington County,Vermont,,,,,,,,,,,,,,,,,,,,,,,,
Benson County,North Dakota,,,,,,,,,,,,,,,,,,,,,,,,
Bent County,Colorado,,,,,,,,,,,,,,,,,,,,,,,,
Benton County,Arkansas,,5008,,,,,1074,,,,,,,,,,,,,,,,,
Benton County,Indiana,,,,,,,,,,,,,,,,,,,,,,,,
Benton County,Iowa,,,,,,,,,,,,,,,,,,,,,,,,
Benton County,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,
Benton County,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,
Benton County,Missouri,,,,,,,,,,,,,,,,,,,,,,,,
Benton County,Oregon,,,,,,,3085,,,,,,,,,,,,,,,,,
Benton County,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,
Benton County,Washington,,,,,,,1665,1674,,,,,,,,,,,,,,,,
Benzie County,Michigan,,,,,,,,,,,,,,,,,,,,,,,,
Bergen County,New Jersey,,39187,,,,,23190,24537,,,7378,59018,,,,,,2433,,3830,,1279,,
Berkeley County,South Carolina,,,,,,,,3744,,,,,,,,,,,,,,,,
Berkeley County,West Virginia,,,,,,,,,,,,,,,,,,,,,,,,
Berks County,Pennsylvania,,1838,,,,,,,,,,,,,,,,,,,,,,
Berkshire County,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,
Bernalillo County,New Mexico,,5880,,,,,4749,4108,,,2984,,,,,,,,,,,,,4250
Berrien County,Georgia,,,,,,,,,,,,,,,,,,,,,,,,
Berrien County,Michigan,,1150,,,,,,,,,,,,,,,,,,,,,,
Bertie County,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,
Bethel Census Area,Alaska,,,,,,,,,,,,,,,,,,,,,,,,
Bexar County,Texas,,14414,,,,,8818,18441,,,5265,5787,,,,,,,,,,,,6838
Bibb County,Alabama,,,,,,,,,,,,,,,,,,,,,,,,
Bibb County,Georgia,,,,,,,,,,,,,,,,,,,,,,,,
Bienville Parish,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,
Big Horn County,Montana,,,,,,,,,,,,,,,,,,,,,,,,
Big Horn County,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,
Big Stone County,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,
Billings County,North Dakota,,,,,,,,,,,,,,,,,,,,,,,,
Bingham County,Idaho,,,,,,,,,,,,,,,,,,,,,,,,
Black Hawk County,Iowa,,,,,,,,,,,,,,,,,,,,,,,,
Blackford County,Indiana,,,,,,,,,,,,,,,,,,,,,,,,
Bladen County,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,
Blaine County,Idaho,,,,,,,,,,,,,,,,,,,,,,,,
Blaine County,Montana,,,,,,,,,,,,,,,,,,,,,,,,
Blaine County,Nebraska,,,,,,,,,,,,,,,,,,,,,,,,
Blaine County,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,
Blair County,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,
Blanco County,Texas,,,,,,,,,,,,,,,,,,,,,,,,
Bland County,Virginia,,,,,,,,,,,,,,,,,,,,,,,,
Bleckley County,Georgia,,,,,,,,,,,,,,,,,,,,,,,,
Bledsoe County,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,
Blount County,Alabama,,,,,,,,,,,,,,,,,,,,,,,,
Blount County,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,
Blue Earth County,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,
Boise County,Idaho,,,,,,,,,,,,,,,,,,,,,,,,
Bolivar County,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,
Bollinger County,Missouri,,,,,,,,,,,,,,,,,,,,,,,,
Bon Homme County,South Dakota,,,,,,,,,,,,,,,,,,,,,,,,
Bond County,Illinois,,,,,,,,,,,,,,,,,,,,,,,,
Bonner County,Idaho,,,,,,,,,,,,,,,,,,,,,,,,
Bonneville County,Idaho,,,,,,,,,,,,,,,,,,,,,,,,
Boone County,Arkansas,,,,,,,,,,,,,,,,,,,,,,,,
Boone County,Illinois,,,,,,,,,,,,,,,,,,,,,,,,
Boone County,Indiana,,,,,,,,,,,,,,,,,,,,,,,,
Boone County,Iowa,,,,,,,,,,,,166,,,,,,,,,,,,
Boone County,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,
Boone County,Missouri,,,,,,,2913,,,,,,,,,,,,,,,,,
Boone County,Nebraska,,,,,,,,,,,,,,,,,,,,,,,,
Boone County,West Virginia,,,,,,,,,,,,,,,,,,,,,,,,
Borden County,Texas,,,,,,,,,,,,,,,,,,,,,,,,
Bosque County,Texas,,,,,,,,,,,,,,,,,,,,,,,,
Bossier Parish,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,
Botetourt County,Virginia,,,,,,,,,,,,,,,,,,,,,,,,
Bottineau County,North Dakota,,,,,,,,,,,,,,,,,,,,,,,,
Boulder County,Colorado,,3141,,,,,5893,1379,,,2059,1612,,,,,,,,,,,,
Boundary County,Idaho,,,,,,,,,,,,,,,,,,,,,,,,
Bourbon County,Kansas,,,,,,,,145,,,,,,,,,,,,,,,,
Bourbon County,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,
Bowie County,Texas,,,,,,,,,,,,,,,,,,,,,,,,
Bowman County,North Dakota,,,,,,,,,,,,,,,,,,,,,,,,
Box Butte County,Nebraska,,,,,,,,,,,,,,,,,,,,,,,,
Box Elder County,Utah,,,,,,,,,,,,,,,,,,,,,,,,
Boyd County,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,
Boyd County,Nebraska,,,,,,,,,,,,,,,,,,,,,,,,
Boyle County,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,
Bracken County,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,
Bradford County,Florida,,,,,,,,,,,,,,,,,,,,,,,,
Bradford County,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,
Bradley County,Arkansas,,,,,,,,,,,,,,,,,,,,,,,,
Bradley County,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,
Branch County,Michigan,,,,,,,,,,,,,,,,,,,,,,,,
Brantley County,Georgia,,,,,,,,,,,,,,,,,,,,,,,,
Braxton County,West Virginia,,,,,,,,,,,,,,,,,,,,,,,,
Brazoria County,Texas,,4738,,,,,,6691,,,,,,,,,,,,,,,,5480
Brazos County,Texas,,3128,,,,,4230,,,,,2036,,,,,,,,,,,,
Breathitt County,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,
Breckinridge County,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,
Bremer County,Iowa,,,,,,,,,,,,,,,,,,,,,,,,
Brevard County,Florida,,4897,,,,,3408,3892,,,,,,,,,,,,,,,,1867
Brewster County,Texas,,,,,,,,,,,,,,,,,,,,,,,,
Briscoe County,Texas,,,,,,,,,,,,,,,,,,,,,,,,
Bristol Bay Borough,Alaska,,,,,,,,,,,,,,,,,,,,,,,,
Bristol city,Virginia,,,,,,,,,,,,,,,,,,,,,,,,
Bristol County,Massachusetts,,3984,,,,,3401,,,,,,,,,,,,,,,,,
Bristol County,Rhode Island,,,,,,,,,,,,,,,,,,,,,,,,
Broadwater County,Montana,,,,,,,,,,,,,,,,,,,,,,,,
Bronx County,New York,,18711,10907,,,,8351,6716,,,,2641,,,,,,4886,,3471,,,,3271
Brooke County,West Virginia,,,,,,,,,,,,,,,,,,,,,,,,
Brookings County,South Dakota,,,,,,,,,,,,,,,,,,,,,,,,
Brooks County,Georgia,,,,,,,,,,,,,,,,,,,,,,,,
Brooks County,Texas,,,,,,,,,,,,,,,,,,,,,,,,
Broome County,New York,,2491,,,,,3209,,,,,658,,,,,,,,,,,,
Broomfield County,Colorado,,,,,,,,,,,,,,,,,,,,,,,,
Broward County,Florida,,29290,,,,,18414,10434,,,,,,,,,,4349,,4900,,,,6357
Brown County,Illinois,,,,,,,,,,,,,,,,,,,,,,,,
Brown County,Indiana,,,,,,,,,,,,,,,,,,,,,,,,
Brown County,Kansas,,,,,,,,,,,,,,,,,,,,,,,,
Brown County,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,
Brown County,Nebraska,,,,,,,,,,,,,,,,,,,,,,,,
Brown County,Ohio,,,,,,,,,,,,,,,,,,,,,,,,
Brown County,South Dakota,,,,,,,,,,,,,,,,,,,,,,,,
Brown County,Texas,,,,,,,,,,,,,,,,,,,,,,,,
Brown County,Wisconsin,,,,,,,,,4267,,,,,,,,,,,,,,,
Brule County,South Dakota,,,,,,,,,,,,,,,,,,,,,,,,
Brunswick County,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,
Brunswick County,Virginia,,,,,,,,,,,,,,,,,,,,,,,,
Bryan County,Georgia,,,,,,,,,,,,,,,,,,,,,,,,
Bryan County,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,
Buchanan County,Iowa,,,,,,,,,,,,,,,,,,,,,,,,
Buchanan County,Missouri,,,,,,,,,,,,,,,,,,,,,,,,
Buchanan County,Virginia,,,,,,,,,,,,,,,,,,,,,,,,
Buckingham County,Virginia,,,,,,,,,,,,,,,,,,,,,,,,
Bucks County,Pennsylvania,,14414,,,,,6296,3150,,,,3837,,,,,,,,,,,,1379
Buena Vista city,Virginia,,,,,,,,,,,,,,,,,,,,,,,,
Buena Vista County,Iowa,,,,,,,,,,,,,,,,,,,,,,,,
Buffalo County,Nebraska,,,,,,,,,,,,,,,,,,,,,,,,
Buffalo County,South Dakota,,,,,,,,,,,,,,,,,,,,,,,,
Buffalo County,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,
Bullitt County,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,
Bulloch County,Georgia,,,,,,,,,,,,,,,,,,,,,,,,
Bullock County,Alabama,,,,,,,,,,,,,,,,,,,,,,,,
Buncombe County,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,
Bureau County,Illinois,,,,,,,,,,,,,,,,,,,,,,,,
Burke County,Georgia,,,,,,,,,,,,,,,,,,,,,,,,
Burke County,North Carolina,,,,,,,,,2385,,,,,,,,,,,,,,,
Burke County,North Dakota,,,,,,,,,,,,,,,,,,,,,,,,
Burleigh County,North Dakota,,,,,,,,,,,,,,,,,,,,,,,,
Burleson County,Texas,,,,,,,,,,,,,,,,,,,,,,,,
Burlington County,New Jersey,,11118,,,,,3627,4558,,,,2990,,,,,,,,,,,,
Burnet County,Texas,,,,,,,,,,,,,,,,,,,,,,,,
Burnett County,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,
Burt County,Nebraska,,,,,,,,,,,,,,,,,,,,,,,,
Butler County,Alabama,,,,,,,,,,,,,,,,,,,,,,,,
Butler County,Iowa,,,,,,,,,,,,,,,,,,,,,,,,
Butler County,Kansas,,,,,,,,,,,,,,,,,,,,,,,,
Butler County,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,
Butler County,Missouri,,,,,,,,,,,,,,,,,,,,,,,,
Butler County,Nebraska,,,,,,,,,,,,,,,,,,,,,,,,
Butler County,Ohio,,3965,,,,,2976,,,,,,,,,,,,,,,,,
Butler County,Pennsylvania,,887,,,,,,,,,,,,,,,,,,,,,,
Butte County,California,,,,,,,,2303,5100,,,,,,,,,,,,,,,
Butte County,Idaho,,,,,,,,,,,,,,,,,,,,,,,,
Butte County,South Dakota,,,,,,,,,,,,,,,,,,,,,,,,
Butts County,Georgia,,,,,,,,,,,,,,,,,,,,,,,,
Cabarrus County,North Carolina,,3364,,,,,,,,,,,,,,,,,,,,,,
Cabell County,West Virginia,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Rojo Municipio,Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,
Cache County,Utah,,,,,,,,,,,,,,,,,,,,,,,,
Caddo County,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,
Caddo Parish,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,
Caguas Municipio,Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,
Calaveras County,California,,,,,,,,,,,,,,,,,,,,,,,,
Calcasieu Parish,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,
Caldwell County,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,
Caldwell County,Missouri,,,,,,,,,,,,,,,,,,,,,,,,
Caldwell County,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,
Caldwell County,Texas,,,,,,,,,,,,,,,,,,,,,,,,
Caldwell Parish,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,
Caledonia County,Vermont,,,,,,,,,,,,,,,,,,,,,,,,
Calhoun County,Alabama,,,,,,,,,,,,,,,,,,,,,,,,
Calhoun County,Arkansas,,,,,,,,,,,,,,,,,,,,,,,,
Calhoun County,Florida,,,,,,,,,,,,,,,,,,,,,,,,
Calhoun County,Georgia,,,,,,,,,,,,,,,,,,,,,,,,
Calhoun County,Illinois,,,,,,,,,,,,,,,,,,,,,,,,
Calhoun County,Iowa,,,,,,,,,,,,,,,,,,,,,,,,
Calhoun County,Michigan,,,,,1359,,,,,,,,,,,,,,,,,,,
Calhoun County,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,
Calhoun County,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,
Calhoun County,Texas,,,,,,,,,,,,,,,,,,,,,,,,
Calhoun County,West Virginia,,,,,,,,,,,,,,,,,,,,,,,,
Callahan County,Texas,,,,,,,,,,,,,,,,,,,,,,,,
Callaway County,Missouri,,,,,,,,,,,,,,,,,,,,,,,,
